,1y Target Est,52 Week Range,Ask,Avg. Volume,Beta (5Y Monthly),Bid,Date,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Name,Open,PE Ratio (TTM),Previous Close,Sector,Ticker,Volume,5y Average Return,Average for Category,Category,Expense Ratio (net),Holdings Turnover,Inception Date,Last Cap Gain,Last Dividend,Morningstar Rating,Morningstar Risk Rating,Net Assets,Sustainability Rating,YTD Return,Yield
170,75.89,45.43 - 80.46,81.35 x 800,"2,334,400",0.80,79.66 x 1200,06/08/2021,79.59 - 80.46,1.77,"Jul 26, 2021 - Jul 30, 2021","Mar 26, 2021",2.41 (3.03%),29.797B,Equity Residential,79.74,44.94,79.46,Real Estate,EQR,"1,471,466",,,,,,,,,,,,,,
171,300.65,186.30 - 313.40,328.00 x 800,"380,940",0.75,312.14 x 800,06/08/2021,309.92 - 313.40,6.48,"Aug 02, 2021 - Aug 06, 2021","Jun 29, 2021",8.36 (2.69%),20.284B,Essex Property Trust Inc.,310.62,48.17,310.62,Real Estate,ESS,"295,200",,,,,,,,,,,,,,
172,335.75,183.22 - 318.34,299.95 x 1100,"1,313,025",0.94,298.90 x 900,06/08/2021,299.93 - 304.37,3.78,"Aug 19, 2021","May 27, 2021",2.12 (0.70%),108.761B,Estée Lauder Companies,303.73,79.43,302.96,Consumer Staples,EL,"797,056",,,,,,,,,,,,,,
173,223.40,76.08 - 251.86,170.48 x 800,"3,114,242",1.53,170.00 x 900,06/08/2021,166.38 - 171.90,3.52,"Aug 03, 2021 - Aug 09, 2021",N/A,N/A (N/A),21.634B,Etsy,166.36,48.34,168.32,Consumer Discretionary,ETSY,"2,623,282",,,,,,,,,,,,,,
174,309.86,193.03 - 281.27,259.33 x 800,"318,315",0.65,258.00 x 1100,06/08/2021,255.75 - 259.72,20.95,"Aug 03, 2021 - Aug 09, 2021","May 25, 2021",6.20 (2.41%),10.388B,Everest Re Group Ltd.,257.22,12.37,257.79,Financials,RE,"304,142",,,,,,,,,,,,,,
175,68.00,48.61 - 65.43,62.49 x 800,"1,385,603",0.37,62.62 x 900,06/08/2021,62.10 - 62.85,3.25,"Aug 03, 2021 - Aug 09, 2021","May 20, 2021",2.14 (3.41%),14.35B,Evergy,62.85,19.26,62.68,Utilities,EVRG,"988,971",,,,,,,,,,,,,,
176,91.33,76.64 - 96.66,81.17 x 1100,"1,491,870",0.30,81.35 x 1100,06/08/2021,80.51 - 82.32,3.60,"Jul 28, 2021 - Aug 02, 2021","May 19, 2021",2.41 (2.94%),27.872B,Eversource Energy,82.40,22.52,82.11,Utilities,ES,"1,380,033",,,,,,,,,,,,,,
177,49.77,33.97 - 46.37,45.76 x 2900,"5,575,878",0.43,45.75 x 3200,06/08/2021,45.63 - 45.97,1.11,"Aug 02, 2021 - Aug 06, 2021","May 13, 2021",1.53 (3.34%),44.706B,Exelon Corp.,45.90,41.22,45.86,Utilities,EXC,"3,986,921",,,,,,,,,,,,,,
178,191.69,75.75 - 187.93,172.97 x 800,"2,720,285",1.77,172.65 x 800,06/08/2021,170.35 - 173.18,-13.98,"Jul 28, 2021 - Aug 02, 2021","Mar 09, 2020",N/A (N/A),25.369B,Expedia Group,170.35,N/A,170.35,Consumer Discretionary,EXPE,"1,391,014",,,,,,,,,,,,,,
179,111.57,71.94 - 126.57,124.34 x 900,"1,151,020",0.79,124.31 x 800,06/08/2021,123.46 - 124.71,5.03,"Aug 02, 2021 - Aug 06, 2021","May 28, 2021",1.16 (0.93%),20.987B,Expeditors,124.56,24.69,124.75,Industrials,EXPD,"807,229",,,,,,,,,,,,,,
180,155.77,88.88 - 158.73,158.49 x 800,"740,489",0.19,145.00 x 900,06/08/2021,156.57 - 158.73,4.42,"Aug 02, 2021 - Aug 06, 2021","Jun 14, 2021",4.00 (2.55%),21.197B,Extra Space Storage,156.81,35.85,156.58,Real Estate,EXR,"651,704",,,,,,,,,,,,,,
181,64.44,31.11 - 64.02,62.21 x 2200,"25,891,306",1.41,62.15 x 3000,06/08/2021,60.67 - 62.48,-4.47,"Jul 29, 2021 - Aug 02, 2021","May 12, 2021",3.48 (5.66%),263.03B,Exxon Mobil Corp.,61.50,N/A,61.05,Energy,XOM,"28,067,399",,,,,,,,,,,,,,
182,217.31,116.79 - 216.15,188.66 x 900,"611,835",1.05,188.65 x 1100,06/08/2021,187.69 - 189.76,4.49,"Jul 26, 2021 - Jul 30, 2021",N/A,N/A (N/A),11.245B,F5 Networks,188.06,42.01,187.31,Information Technology,FFIV,"324,099",,,,,,,,,,,,,,
183,386.26,207.11 - 338.30,333.85 x 800,"19,222,296",1.30,333.69 x 900,06/08/2021,332.24 - 338.30,11.67,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),946.136B,Facebook Inc.,336.70,28.59,336.58,Communication Services,FB,"14,367,180",,,,,,,,,,,,,,
184,51.88,39.15 - 54.32,53.29 x 1400,"3,243,657",1.25,52.84 x 1300,06/08/2021,52.26 - 53.12,1.51,"Jul 13, 2021","Apr 23, 2021",1.12 (2.12%),30.464B,Fastenal Co,52.82,35.12,52.78,Industrials,FAST,"2,765,595",,,,,,,,,,,,,,
185,113.60,67.01 - 122.52,129.58 x 900,"649,568",1.17,117.78 x 800,06/08/2021,120.00 - 122.52,1.52,"Aug 03, 2021 - Aug 09, 2021","Jun 21, 2021",4.24 (3.54%),9.472B,Federal Realty Investment Trust,120.03,79.88,119.72,Real Estate,FRT,"529,305",,,,,,,,,,,,,,
186,334.53,127.29 - 319.90,304.00 x 1100,"2,180,339",1.27,302.01 x 800,06/08/2021,298.62 - 303.20,11.36,"Jun 24, 2021","Mar 05, 2021",2.60 (0.86%),80.287B,FedEx Corporation,302.80,26.64,303.34,Industrials,FDX,"1,498,990",,,,,,,,,,,,,,
187,169.55,120.17 - 156.73,144.43 x 1000,"2,761,565",0.85,141.44 x 800,06/08/2021,142.93 - 145.00,-0.37,"Aug 02, 2021 - Aug 06, 2021","Jun 10, 2021",1.56 (1.09%),89.627B,Fidelity National Information Services,143.61,N/A,143.53,Information Technology,FIS,"2,879,541",,,,,,,,,,,,,,
188,43.69,17.28 - 43.06,41.83 x 1200,"5,762,829",1.60,41.47 x 4000,06/08/2021,40.85 - 41.78,2.72,"Jul 22, 2021","Mar 30, 2021",1.08 (2.57%),29.341B,Fifth Third Bancorp,41.51,15.31,41.99,Financials,FITB,"5,080,002",,,,,,,,,,,,,,
189,185.20,100.38 - 195.79,195.44 x 1000,"673,592",1.11,195.41 x 800,06/08/2021,192.10 - 195.79,6.40,"Jul 12, 2021 - Jul 16, 2021","Apr 28, 2021",0.88 (0.45%),34.385B,First Republic Bank,193.36,30.46,194.48,Financials,FRC,"435,474",,,,,,,,,,,,,,
190,39.79,22.85 - 43.63,38.27 x 900,"3,516,654",0.23,38.10 x 1200,06/08/2021,38.12 - 38.58,2.47,"Jul 21, 2021 - Jul 26, 2021","May 06, 2021",1.56 (4.04%),20.815B,FirstEnergy Corp,38.56,15.51,38.57,Utilities,FE,"1,897,080",,,,,,,,,,,,,,
191,142.81,92.15 - 127.34,109.82 x 800,"4,390,873",0.89,109.81 x 1000,06/08/2021,109.67 - 110.80,1.28,"Aug 03, 2021 - Aug 09, 2021",N/A,N/A (N/A),72.669B,Fiserv Inc,110.47,86.06,109.66,Information Technology,FISV,"4,787,240",,,,,,,,,,,,,,
192,313.06,214.88 - 295.36,271.38 x 900,"478,420",1.45,271.27 x 800,06/08/2021,270.49 - 273.13,8.61,"Aug 04, 2021 - Aug 09, 2021",N/A,N/A (N/A),22.624B,FleetCor Technologies Inc,272.80,31.53,272.51,Information Technology,FLT,"404,812",,,,,,,,,,,,,,
193,133.16,93.52 - 123.66,119.18 x 800,"765,235",1.00,119.07 x 800,06/08/2021,117.83 - 119.78,4.04,"Aug 02, 2021 - Aug 06, 2021","Jun 29, 2021",1.92 (1.62%),15.354B,FMC Corporation,118.37,29.50,118.49,Materials,FMC,"642,423",,,,,,,,,,,,,,
194,14.41,5.74 - 16.45,15.59 x 38800,"80,093,554",1.17,15.63 x 47300,06/08/2021,15.33 - 15.80,0.99,"Jul 28, 2021 - Aug 02, 2021","Jan 29, 2020",N/A (N/A),62.389B,Ford Motor Company,15.76,15.72,15.88,Consumer Discretionary,F,"92,671,095",,,,,,,,,,,,,,
195,221.07,106.75 - 227.78,228.85 x 800,"1,113,226",1.11,227.48 x 800,06/08/2021,223.73 - 227.78,2.96,"Aug 04, 2021 - Aug 09, 2021",N/A,N/A (N/A),37.132B,Fortinet,223.80,76.91,223.54,Information Technology,FTNT,"856,043",,,,,,,,,,,,,,
196,80.00,51.21 - 75.00,76.00 x 800,"2,298,385",1.21,72.18 x 1100,06/08/2021,71.83 - 72.73,4.68,"Jul 26, 2021 - Jul 30, 2021","May 27, 2021",0.28 (0.38%),24.384B,Fortive Corp,72.71,15.38,72.74,Industrials,FTV,"2,176,914",,,,,,,,,,,,,,
197,117.00,56.03 - 114.01,104.88 x 1100,"821,810",1.65,100.04 x 1100,06/08/2021,101.64 - 102.85,4.43,"Jul 27, 2021 - Aug 02, 2021","May 27, 2021",1.04 (1.02%),14.212B,Fortune Brands Home & Security,102.55,23.14,102.15,Industrials,FBHS,"483,146",,,,,,,,,,,,,,
198,41.18,23.93 - 44.80,36.87 x 1000,"3,636,864",1.27,36.40 x 800,06/08/2021,36.37 - 37.24,3.36,"Aug 02, 2021 - Aug 06, 2021","Mar 09, 2021",0.46 (1.24%),20.843B,Fox Corporation (Class A),37.15,10.90,37.15,Communication Services,FOXA,"2,360,943",,,,,,,,,,,,,,
199,51.50,24.03 - 42.14,35.59 x 800,"1,266,154",1.27,34.86 x 900,06/08/2021,34.95 - 35.65,3.36,N/A,"Mar 09, 2021",0.46 (1.29%),20.901B,Fox Corporation (Class B),35.56,10.48,35.60,Communication Services,FOX,"1,170,978",,,,,,,,,,,,,,
200,31.50,17.97 - 35.94,35.09 x 1800,"3,226,804",1.29,34.90 x 900,06/08/2021,34.76 - 35.38,2.15,"Jul 26, 2021 - Jul 30, 2021","Mar 30, 2021",1.12 (3.16%),17.712B,Franklin Resources,35.31,16.33,35.45,Financials,BEN,"2,539,782",,,,,,,,,,,,,,
201,43.41,9.78 - 46.10,41.35 x 900,"23,516,107",2.16,41.25 x 900,06/08/2021,40.69 - 41.92,1.23,"Jul 21, 2021 - Jul 26, 2021","Apr 14, 2021",0.30 (0.73%),60.644B,Freeport-McMoRan Inc.,41.38,33.70,41.26,Materials,FCX,"14,630,010",,,,,,,,,,,,,,
202,36.39,9.63 - 37.63,32.73 x 1100,"6,663,640",1.67,32.49 x 1000,06/08/2021,31.33 - 32.54,1.15,"Aug 25, 2021 - Aug 30, 2021","Jul 06, 2021",0.36 (1.16%),12.178B,Gap Inc.,31.95,28.07,31.35,Consumer Discretionary,GPS,"6,714,804",,,,,,,,,,,,,,
203,145.71,90.12 - 145.20,142.54 x 1200,"679,145",1.06,142.53 x 900,06/08/2021,141.78 - 144.13,5.47,"Jul 27, 2021 - Aug 02, 2021","Jun 14, 2021",2.68 (1.87%),27.529B,Garmin Ltd.,144.13,26.07,143.27,Consumer Discretionary,GRMN,"550,249",,,,,,,,,,,,,,
204,246.29,114.36 - 239.09,232.20 x 1000,"677,129",1.60,232.73 x 1000,06/08/2021,229.66 - 234.08,3.96,"Aug 02, 2021 - Aug 06, 2021","Jul 19, 1999",N/A (N/A),19.979B,Gartner Inc,231.71,58.58,231.10,Information Technology,IT,"817,359",,,,,,,,,,,,,,
205,403.83,101.72 - 364.00,352.01 x 1000,"880,560",0.90,350.80 x 1000,06/08/2021,339.47 - 354.93,7.12,"Jul 28, 2021 - Aug 02, 2021","Jun 10, 2013",N/A (N/A),20.772B,Generac Holdings,339.40,49.24,329.96,Industrials,GNRC,"1,415,725",,,,,,,,,,,,,,
206,198.12,129.17 - 197.51,193.30 x 800,"1,115,351",N/A,190.16 x 800,06/08/2021,191.23 - 193.38,N/A,"Jul 27, 2021 - Aug 02, 2021",N/A,N/A (N/A),54.462B,General Dynamics,191.78,17.43,191.77,Industrials,GD,"1,004,652",,,,,,,,,,,,,,
207,14.97,5.93 - 14.42,13.90 x 40000,"71,796,592",1.07,13.89 x 2900,06/08/2021,13.74 - 13.98,-0.45,"Jul 27, 2021 - Aug 02, 2021","Mar 05, 2021",0.04 (0.29%),122.111B,General Electric,13.97,N/A,13.91,Industrials,GE,"44,121,969",,,,,,,,,,,,,,
208,62.71,53.96 - 66.14,63.26 x 900,"4,354,998",0.55,63.12 x 1400,06/08/2021,63.01 - 63.88,4.12,"Jun 29, 2021 - Jul 05, 2021","Apr 08, 2021",2.04 (3.20%),38.544B,General Mills,63.81,15.34,63.72,Consumer Staples,GIS,"2,263,223",,,,,,,,,,,,,,
209,69.90,23.33 - 64.30,64.24 x 1000,"18,112,137",1.36,64.15 x 3200,06/08/2021,62.44 - 63.96,6.20,"Aug 04, 2021","Mar 05, 2020",N/A (N/A),92.727B,General Motors,63.02,10.32,63.23,Consumer Discretionary,GM,"12,931,927",,,,,,,,,,,,,,
210,121.71,82.06 - 135.93,129.50 x 800,"808,623",1.13,129.25 x 1200,06/08/2021,127.41 - 129.71,0.37,"Jul 28, 2021 - Aug 02, 2021","Jun 03, 2021",3.26 (2.55%),18.698B,Genuine Parts,127.31,354.58,127.87,Consumer Discretionary,GPC,"656,606",,,,,,,,,,,,,,
211,74.49,56.56 - 78.94,67.52 x 4000,"7,422,609",0.40,67.47 x 1200,06/08/2021,66.99 - 67.61,0.24,"Jul 28, 2021 - Aug 02, 2021","Jun 14, 2021",2.84 (4.21%),84.67B,Gilead Sciences,67.44,281.29,67.42,Health Care,GILD,"5,489,219",,,,,,,,,,,,,,
212,231.06,153.33 - 220.81,195.28 x 800,"1,403,818",1.20,191.45 x 1800,06/08/2021,191.32 - 193.20,2.13,"Aug 02, 2021 - Aug 06, 2021","Jun 10, 2021",0.78 (0.41%),56.534B,Global Payments Inc.,191.78,89.95,191.20,Information Technology,GPN,"1,670,866",,,,,,,,,,,,,,
213,110.00,69.47 - 108.22,106.48 x 800,"367,792",1.14,106.46 x 900,06/08/2021,104.99 - 106.62,6.83,"Jul 20, 2021 - Jul 26, 2021","Jul 01, 2021",0.79 (0.74%),10.972B,Globe Life Inc.,105.90,15.58,106.47,Financials,GL,"305,061",,,,,,,,,,,,,,
214,394.06,185.52 - 393.26,385.54 x 1100,"2,888,435",1.49,383.70 x 900,06/08/2021,382.26 - 386.48,40.26,"Jul 13, 2021 - Jul 19, 2021","May 28, 2021",5.00 (1.30%),130.706B,Goldman Sachs Group,385.79,9.56,388.16,Financials,GS,"2,452,596",,,,,,,,,,,,,,
215,458.21,291.22 - 479.87,462.88 x 1100,"268,532",1.21,462.39 x 900,06/08/2021,456.09 - 463.57,14.09,"Jul 30, 2021","May 07, 2021",6.48 (1.41%),24.1B,Grainger (W.W.) Inc.,459.79,32.82,459.81,Industrials,GWW,"118,641",,,,,,,,,,,,,,
216,23.30,10.60 - 25.00,24.51 x 1400,"9,258,209",2.86,24.31 x 3000,06/08/2021,23.78 - 24.52,-1.99,"Jul 19, 2021 - Jul 23, 2021","Jun 01, 2021",0.18 (0.74%),21.718B,Halliburton Co.,24.11,N/A,24.30,Energy,HAL,"6,459,317",,,,,,,,,,,,,,
217,21.17,10.28 - 22.82,19.77 x 1200,"4,557,975",1.53,19.50 x 800,06/08/2021,19.31 - 19.85,-0.94,"Jul 28, 2021 - Aug 02, 2021","May 20, 2021",0.60 (3.08%),6.899B,Hanesbrands Inc,19.46,N/A,19.46,Consumer Discretionary,HBI,"2,215,471",,,,,,,,,,,,,,
218,75.08,34.69 - 69.94,66.04 x 1800,"3,524,487",1.08,65.74 x 800,06/08/2021,64.77 - 66.12,4.69,"Jul 28, 2021 - Aug 02, 2021","May 28, 2021",1.40 (2.15%),23.535B,Hartford Financial Svc.Gp.,64.90,14.06,65.17,Financials,HIG,"1,814,047",,,,,,,,,,,,,,
219,110.71,69.33 - 101.24,96.80 x 800,"811,250",0.97,95.60 x 900,06/08/2021,94.41 - 96.80,2.97,"Jul 26, 2021 - Jul 30, 2021","Jul 30, 2021",2.72 (2.87%),13.258B,Hasbro Inc.,95.16,32.49,94.75,Consumer Discretionary,HAS,"419,044",,,,,,,,,,,,,,
220,222.45,91.21 - 217.36,210.16 x 800,"1,484,537",1.65,209.00 x 800,06/08/2021,208.81 - 212.23,13.38,"Jul 20, 2021 - Jul 26, 2021","Jun 15, 2021",1.92 (0.90%),69.385B,HCA Healthcare,211.84,15.68,211.87,Health Care,HCA,"1,317,549",,,,,,,,,,,,,,
221,34.63,25.13 - 34.61,34.28 x 3100,"3,315,565",0.67,34.35 x 1800,06/08/2021,33.98 - 34.54,N/A,"Aug 02, 2021 - Aug 06, 2021","May 07, 2021",1.20 (3.52%),18.469B,Healthpeak Properties,34.02,N/A,34.09,Real Estate,PEAK,"4,006,805",,,,,,,,,,,,,,
222,82.07,54.25 - 83.45,77.79 x 1400,"1,006,370",0.86,77.77 x 800,06/08/2021,76.57 - 77.89,3.07,"Aug 02, 2021 - Aug 06, 2021",N/A,N/A (N/A),10.932B,Henry Schein,77.17,25.32,77.30,Health Care,HSIC,"473,583",,,,,,,,,,,,,,
223,89.58,34.82 - 90.36,90.08 x 800,"2,130,004",2.22,90.18 x 1300,06/08/2021,86.86 - 90.36,-1.34,"Jul 27, 2021 - Aug 02, 2021","Jun 14, 2021",1.00 (1.12%),27.813B,Hess Corporation,88.16,N/A,89.05,Energy,HES,"2,195,587",,,,,,,,,,,,,,
224,17.14,8.28 - 16.74,16.00 x 4000,"10,836,818",N/A,15.89 x 4000,06/08/2021,15.75 - 16.08,0.50,"Aug 23, 2021 - Aug 27, 2021","Jun 15, 2021",0.48 (3.02%),20.895B,Hewlett Packard Enterprise,15.90,32.19,15.90,Information Technology,HPE,"6,911,995",,,,,,,,,,,,,,
225,127.00,69.83 - 132.69,128.20 x 800,"1,914,318",1.30,127.60 x 900,06/08/2021,124.76 - 128.16,-3.03,"Aug 04, 2021 - Aug 09, 2021","Feb 27, 2020",N/A (N/A),35.608B,Hilton Worldwide Holdings Inc,125.17,N/A,124.90,Consumer Discretionary,HLT,"1,957,759",,,,,,,,,,,,,,
226,84.17,49.19 - 85.00,60.52 x 900,"2,328,142",1.17,60.12 x 1300,06/08/2021,60.11 - 61.20,7.28,"Jul 27, 2021 - Aug 02, 2021",N/A,N/A (N/A),15.507B,Hologic,61.13,8.31,60.89,Health Care,HOLX,"1,680,245",,,,,,,,,,,,,,
227,345.58,234.31 - 345.69,311.62 x 1400,"4,347,014",1.05,311.19 x 900,06/08/2021,308.98 - 312.29,13.72,"Aug 17, 2021","Jun 02, 2021",6.60 (2.13%),330.568B,Home Depot,311.27,22.66,309.96,Consumer Discretionary,HD,"2,913,774",,,,,,,,,,,,,,
228,236.79,137.53 - 234.02,230.40 x 1100,"2,727,885",1.18,230.00 x 900,06/08/2021,227.44 - 230.82,6.53,"Jul 22, 2021 - Jul 26, 2021","May 13, 2021",3.72 (1.63%),159.616B,Honeywell Int'l Inc.,228.31,35.18,228.19,Industrials,HON,"1,720,583",,,,,,,,,,,,,,
229,47.00,43.45 - 52.97,48.72 x 1000,"2,053,835",-0.07,48.71 x 1100,06/08/2021,48.64 - 49.28,1.62,"Aug 23, 2021 - Aug 27, 2021","Jul 09, 2021",0.98 (1.99%),26.41B,Hormel Foods Corp.,49.14,30.07,49.18,Consumer Staples,HRL,"1,370,336",,,,,,,,,,,,,,
230,17.97,10.04 - 18.52,18.28 x 2900,"7,730,017",1.43,17.86 x 4000,06/08/2021,17.65 - 18.12,-1.26,"Jul 28, 2021 - Aug 02, 2021","Mar 30, 2020",N/A (N/A),12.78B,Host Hotels & Resorts,17.79,N/A,17.80,Real Estate,HST,"6,327,517",,,,,,,,,,,,,,
231,39.13,12.98 - 36.03,36.00 x 1200,"3,350,800",1.73,35.76 x 800,06/08/2021,35.31 - 36.03,N/A,"Aug 04, 2021 - Aug 09, 2021","Feb 06, 2020",N/A (N/A),15.343B,Howmet Aerospace,35.31,N/A,35.30,Industrials,HWM,"3,633,797",,,,,,,,,,,,,,
232,33.05,15.55 - 36.00,30.40 x 3100,"10,293,775",1.03,30.20 x 1300,06/08/2021,29.92 - 30.59,2.78,"Aug 25, 2021 - Aug 30, 2021","Jun 08, 2021",0.78 (2.54%),36.542B,HP Inc.,30.48,10.93,30.36,Information Technology,HPQ,"9,923,576",,,,,,,,,,,,,,
233,492.95,365.06 - 475.44,423.15 x 1200,"859,284",0.88,409.00 x 1000,06/08/2021,411.36 - 425.69,28.15,"Jul 28, 2021","Jun 29, 2021",2.80 (0.67%),54.486B,Humana Inc.,415.60,15.00,416.00,Health Care,HUM,"1,191,519",,,,,,,,,,,,,,
234,17.36,8.01 - 16.91,15.19 x 38800,"13,074,940",1.37,15.09 x 1800,06/08/2021,15.04 - 15.47,1.14,"Jul 21, 2021 - Jul 26, 2021","Jun 16, 2021",0.60 (3.85%),15.485B,Huntington Bancshares,15.46,13.32,15.58,Financials,HBAN,"157,402,021",,,,,,,,,,,,,,
235,229.40,136.44 - 223.79,225.72 x 1200,"310,439",1.01,219.87 x 800,06/08/2021,219.48 - 223.40,16.59,"Aug 04, 2021 - Aug 09, 2021","May 27, 2021",4.56 (2.06%),8.958B,Huntington Ingalls Industries,220.90,13.42,221.28,Industrials,HII,"163,876",,,,,,,,,,,,,,
236,242.25,145.85 - 235.76,223.21 x 800,"406,807",1.09,223.16 x 1300,06/08/2021,220.77 - 223.62,5.09,"Jul 21, 2021 - Jul 26, 2021","May 21, 2021",2.16 (0.97%),16.946B,IDEX Corporation,223.04,43.85,222.75,Industrials,IEX,"167,072",,,,,,,,,,,,,,
237,587.00,294.17 - 573.99,573.00 x 1000,"392,378",0.89,511.15 x 900,06/08/2021,556.26 - 567.04,7.77,"Jul 29, 2021 - Aug 02, 2021",N/A,N/A (N/A),47.869B,Idexx Laboratories,560.77,72.23,560.35,Health Care,IDXX,"272,982",,,,,,,,,,,,,,
238,118.13,68.03 - 109.34,106.53 x 2900,"2,349,853",0.98,106.50 x 800,06/08/2021,105.33 - 106.74,1.33,"Jun 21, 2021 - Jun 25, 2021","Apr 30, 2021",0.80 (0.75%),45.141B,IHS Markit,106.11,79.86,105.88,Industrials,INFO,"2,331,497",,,,,,,,,,,,,,
239,243.18,160.34 - 242.07,232.80 x 900,"1,076,265",1.11,229.55 x 800,06/08/2021,230.79 - 233.64,6.97,"Jul 29, 2021 - Aug 02, 2021","Jun 29, 2021",4.56 (1.95%),73.5B,Illinois Tool Works,232.62,33.39,233.49,Industrials,ITW,"817,626",,,,,,,,,,,,,,
240,410.18,260.42 - 555.77,441.50 x 800,"988,967",0.94,425.64 x 900,06/08/2021,426.21 - 439.99,4.28,"Aug 04, 2021 - Aug 09, 2021",N/A,N/A (N/A),63.345B,Illumina Inc,434.76,101.37,430.34,Health Care,ILMN,"642,098",,,,,,,,,,,,,,
241,106.38,75.52 - 110.37,86.26 x 1100,"1,160,778",0.80,84.81 x 800,06/08/2021,83.97 - 86.29,2.18,"Aug 02, 2021 - Aug 06, 2021",N/A,N/A (N/A),18.652B,Incyte,85.88,38.89,85.11,Health Care,INCY,"952,033",,,,,,,,,,,,,,
242,55.21,26.72 - 52.12,48.75 x 800,"2,245,207",1.52,48.62 x 900,06/08/2021,47.67 - 48.72,-0.21,"Aug 02, 2021 - Aug 06, 2021",N/A,N/A (N/A),20.343B,Ingersoll Rand,48.07,N/A,48.21,Industrials,IR,"1,294,282",,,,,,,,,,,,,,
243,64.87,43.61 - 68.49,57.00 x 3000,"29,067,167",0.60,56.91 x 2900,06/08/2021,56.60 - 57.63,4.46,"Jul 21, 2021 - Jul 26, 2021","May 06, 2021",1.39 (2.43%),230.166B,Intel Corp.,57.45,12.79,57.09,Information Technology,INTC,"33,254,482",,,,,,,,,,,,,,
244,133.73,90.01 - 121.97,111.06 x 900,"2,278,732",0.73,111.04 x 1400,06/08/2021,110.03 - 111.42,3.74,"Jul 29, 2021","Jun 15, 2021",1.32 (1.20%),62.512B,Intercontinental Exchange,110.58,29.67,110.40,Financials,ICE,"2,520,525",,,,,,,,,,,,,,
245,143.82,105.92 - 150.20,149.39 x 1100,"5,168,550",1.23,149.14 x 900,06/08/2021,148.13 - 150.20,5.98,"Jul 19, 2021","May 07, 2021",6.56 (4.40%),133.197B,International Business Machines,148.12,24.94,148.02,Information Technology,IBM,"5,080,099",,,,,,,,,,,,,,
246,157.24,99.54 - 147.04,144.95 x 900,"1,657,976",0.97,136.00 x 1000,06/08/2021,142.74 - 144.99,1.40,"Aug 09, 2021 - Aug 13, 2021","Jun 24, 2021",3.08 (2.15%),36.046B,International Flavors & Fragrances,143.26,103.51,143.18,Materials,IFF,"994,190",,,,,,,,,,,,,,
247,64.86,32.59 - 65.27,64.43 x 800,"2,911,128",1.06,64.20 x 800,06/08/2021,63.21 - 64.38,2.45,"Jul 29, 2021","May 26, 2021",2.05 (3.22%),25.13B,International Paper,63.60,26.16,63.73,Materials,IP,"1,686,306",,,,,,,,,,,,,,
248,33.09,15.92 - 34.41,33.97 x 800,"4,086,346",1.05,29.79 x 1800,06/08/2021,32.94 - 33.61,1.11,"Jul 27, 2021 - Aug 02, 2021","Jun 04, 2021",1.08 (3.23%),13.206B,Interpublic Group,33.24,30.27,33.44,Communication Services,IPG,"2,842,697",,,,,,,,,,,,,,
249,497.42,274.19 - 466.00,465.59 x 900,"1,310,460",1.00,465.53 x 1000,06/08/2021,459.84 - 466.00,7.89,"Aug 23, 2021 - Aug 27, 2021","Apr 09, 2021",2.36 (0.52%),127.136B,Intuit Inc.,461.16,58.98,457.21,Information Technology,INTU,"1,450,341",,,,,,,,,,,,,,
250,890.86,543.03 - 893.79,845.00 x 1200,"558,792",1.04,833.44 x 1100,06/08/2021,826.31 - 841.14,9.72,"Jul 19, 2021 - Jul 23, 2021",N/A,N/A (N/A),98.717B,Intuitive Surgical Inc.,835.35,85.77,831.12,Health Care,ISRG,"414,269",,,,,,,,,,,,,,
251,29.77,9.25 - 29.71,29.21 x 1000,"4,322,535",1.31,28.46 x 1000,06/08/2021,28.48 - 29.32,1.53,"Jul 26, 2021 - Jul 30, 2021","May 10, 2021",0.68 (2.35%),13.447B,Invesco Ltd.,28.93,19.06,28.99,Financials,IVZ,"2,964,182",,,,,,,,,,,,,,
252,255.85,149.51 - 262.55,216.68 x 1000,"323,473",1.37,205.36 x 900,06/08/2021,204.83 - 208.01,3.55,"Aug 02, 2021 - Aug 06, 2021","Dec 19, 2012",N/A (N/A),11.014B,IPG Photonics Corp.,208.01,57.87,205.78,Information Technology,IPGP,"206,075",,,,,,,,,,,,,,
253,259.47,133.18 - 244.95,235.18 x 900,"971,043",1.46,235.14 x 800,06/08/2021,231.07 - 235.71,2.10,"Jul 20, 2021 - Jul 26, 2021",N/A,N/A (N/A),45.006B,IQVIA Holdings Inc.,234.05,111.82,233.20,Health Care,IQV,"751,725",,,,,,,,,,,,,,
254,36.86,24.37 - 46.93,46.99 x 1200,"2,269,881",0.82,46.12 x 800,06/08/2021,45.73 - 46.93,1.12,"Aug 04, 2021 - Aug 09, 2021","Jun 14, 2021",2.47 (5.41%),13.472B,Iron Mountain Incorporated,45.74,41.48,45.72,Real Estate,IRM,"1,801,360",,,,,,,,,,,,,,
255,178.67,110.29 - 183.80,165.52 x 800,"585,870",1.03,165.41 x 1300,06/08/2021,163.26 - 165.93,5.13,"Jul 16, 2021","May 06, 2021",1.20 (0.73%),17.487B,J. B. Hunt Transport Services,163.95,32.25,163.57,Industrials,JBHT,"474,446",,,,,,,,,,,,,,
